Age,Age_Band,Gender,Primary_Device,Urban_or_Rural,Avg_Daily_Screen_Time_hr,Exceeded_Recommended_Limit,Health_Risk_Flag
14,Teens,Male,Smartphone,Urban,3.99,True,1
11,Pre-teens,Female,Laptop,Urban,4.61,True,1
18,Young Adults,Female,Tv,Urban,3.73,True,1
15,Teens,Female,Laptop,Urban,1.21,False,1
12,Pre-teens,Female,Smartphone,Urban,5.89,True,1
14,Teens,Female,Smartphone,Urban,4.88,True,1
17,Young Adults,Male,Tv,Rural,2.97,False,1
10,Pre-teens,Male,Tv,Urban,2.74,True,1
14,Teens,Male,Laptop,Rural,4.61,True,1
18,Young Adults,Male,Tablet,Urban,3.24,True,1
18,Young Adults,Male,Tablet,Rural,3.53,True,1
15,Teens,Female,Tv,Rural,4.94,True,1
12,Pre-teens,Male,Smartphone,Urban,4.59,True,1
11,Pre-teens,Male,Tv,Rural,6.08,True,1
15,Teens,Male,Smartphone,Urban,6.15,True,1
15,Teens,Female,Smartphone,Urban,3.69,True,1
10,Pre-teens,Female,Smartphone,Rural,7.1,True,1
13,Teens,Female,Smartphone,Urban,6.98,True,1
12,Pre-teens,Male,Smartphone,Urban,3.82,True,1
9,Pre-teens,Female,Tv,Urban,0.0,False,1
15,Teens,Male,Smartphone,Urban,3.85,True,1
13,Teens,Female,Smartphone,Urban,4.05,True,1
9,Pre-teens,Female,Tablet,Urban,1.63,False,1
12,Pre-teens,Female,Tv,Urban,6.78,True,1
8,Kids,Male,Tablet,Urban,3.19,True,1
17,Young Adults,Male,Smartphone,Urban,4.96,True,1
13,Teens,Female,Smartphone,Urban,1.85,False,1
16,Teens,Male,Smartphone,Urban,4.22,True,1
8,Kids,Male,Smartphone,Urban,0.31,False,1
18,Young Adults,Male,Tv,Urban,5.13,True,1
18,Young Adults,Male,Smartphone,Urban,4.45,True,1
17,Young Adults,Female,Smartphone,Rural,3.02,True,1
10,Pre-teens,Male,Tablet,Urban,2.16,True,1
14,Teens,Male,Smartphone,Rural,4.28,True,1
11,Pre-teens,Female,Smartphone,Urban,5.34,True,1
16,Teens,Female,Laptop,Rural,3.5,True,1
10,Pre-teens,Male,Tv,Urban,11.68,True,1
12,Pre-teens,Female,Smartphone,Urban,1.63,False,1
10,Pre-teens,Male,Smartphone,Urban,4.63,True,1
14,Teens,Male,Tv,Urban,4.21,True,1
12,Pre-teens,Male,Smartphone,Urban,4.56,True,1
16,Teens,Female,Tv,Urban,3.51,True,1
14,Teens,Female,Smartphone,Urban,4.69,True,1
9,Pre-teens,Male,Tv,Urban,7.61,True,1
11,Pre-teens,Male,Smartphone,Rural,2.75,False,1
16,Teens,Male,Tv,Urban,6.74,True,1
9,Pre-teens,Female,Smartphone,Urban,0.0,False,1
17,Young Adults,Male,Smartphone,Rural,2.34,False,1
16,Teens,Male,Smartphone,Rural,2.85,False,1
17,Young Adults,Male,Laptop,Rural,4.29,True,1
12,Pre-teens,Male,Tv,Urban,6.03,True,1
9,Pre-teens,Female,Smartphone,Urban,1.06,False,1
11,Pre-teens,Male,Smartphone,Urban,2.83,False,1
14,Teens,Male,Smartphone,Urban,3.92,True,1
15,Teens,Male,Smartphone,Urban,4.55,True,1
